ReviewerName,Description
gowthamsenthil,I. Need receiver .I have not received without the receiver which is get attached to my laptop
Kuldeep Singh,Perfect wireless mouse at a low price
PARAMJEET,The product is very very useful.
Amazon Customer,Good price  for good product...
Arijit,"It’s too freaking small , good for kids"
vijay,Serve the purpose no issue till now. Bought it 2months back. Easy to handle. Good buy.
ppd,A very cute mouse. Have been using it for over a year now and no snag or any kind of issues. Working very well.
Sandeep Kumar,The scroll button seems to be hard to press and after using it for about 7 months it stopped working at all
Amazon Customer,Very poor quality. Didnt work at all. It was dead mouse.
trupti,Good product with quality and too good performance it is very compact so can carry anywhere
Rai,Great
Harendra Yadav,i have used it for over two years and i didnt have to chnaged the battery once.
Mangal Singh,"Wireless plug missing, Only mouse is received."
Aruneet Das Gupta,"Too good and sturdy, very smooth response"
Amazon Customer,Awesome
suparna matabbar,very useful product. quality is lovely very easy to use.. very good product..
deepak joshi,Invisible optic is the eye attracting feature. Due to its size comfortable to use.
RDAmbekar,Good mouse.
Amazon Customer,best in class..touch wood working absolutely fine so far
avinash,Average product
Renuka,Good
Amazon Customer,Awesome
Amud14,I have been using this mouse for about a month.. it's very responsive. Easy to hold.Good product in this price range
Amazon Customer,Good product as per rangeAnd battery life is more than expectation
Panish,Very good
Sean,"It's cool to behold, and handy too. Pretty much like it was described in the reviews."
Syed Jawed,Good
ankur goswami,Fast response
Dr.Saurabh,Good. Easy to use. But can't recommend for gaming
SWARNA PRIYADARSINI SWAIN,Wow... It's perfect for me. Looks really stylish. I was really looking for a mouse like this. I am very satisfied. Thanks logiteck
Fenil,Nice
Amazon Customer,Looking good. Easy can use any of the surface.
LSV,Value for money. Features as mentioned. sleek and comfortable to use
GOBINDA NATH DHARA,super comfy..... perfect price.....and super precise.....works on any surface....the rougher the better .....
Joy das,Product is working good. By mistake I asked for replacement.
Amazon Customer,The product is of excellent quality and value for money
cori,tis mouse is especially for small hands it is good and response time and its battery life is awesome
Robin P.,Easy to set up. Problem free. Have used for a month.
Vinod Purushothaman,"The product is really small, so the ergonomics are really bad."
Sandesh sutar,Really liked the side texture and styling.The scroll wheel is kinda smooth.Overall a great product for the money.
Rama Chandu,The mouse every scroll I made through middle button did a screeching sound like two metals being rubbed against each other.
Maihar Enterprises,"Don't buy, it's not working after  a week of use and not at all comfortable to hold."
Akshay Naik,"The package was already torned from inside, and mouse is already having scratches as it is a used mouse."
RAHUL,"The mouse is really good, sleek comfortable and handy to use. Movements and reflexes are fine."
Rahul M.,Usefull. Just gets the job done. Vale for money.
Somen halder,Good product. Easy and soft to use.
siddharth asthana,it has a placeholder inside for the wifi dongle!
Shree,A little too small to hold but otherwise good
Subham Dhar,A product that meets the demand and is as described by the seller. The range of the connectivity is great along with the performnce and speed. Its a great deal.
Amazon Customer,Not precise
Aloke Chakraborty,The click is not appropriate for gaming.High dpi also so can find uneasy for gaming.
Tarun koul,"Good product, have been using it from past 4 months"
Amazon Customer,Stopped working after 3-4 months suddenly don’t go for this product
Manthan,Product without any complaint
Prashant Joshi,You might get this product but here in 2nd time wrong/duplicate product received today.
Rajan N.,Well build in low price... smooth working
Ashish Agrawal,Super super Awesome. Has been going strong.
Arundhati Batabyal,Good
SOHEL TAMBOLI,Nice
Saravanakumar S,Good product work perfectly as expect but only thing packing is very worst amazon..
Abhik,Very nice mouse. Awesome battery life. Looks cool. Comes with a battery. & it's Logitech. Did a bit of gaming not as smooth as gaming mouse still commendable
Shubham mehta,Mouse worked good for the first few months then the scroll stopped working properly
JC,"I use it as a daily driver and it's good, not meant to play games, so you can't play FPS games on this one"
dada,Build quality is not up to mark. It can break easily. Add ~Rs.150 and buy Logitech M235. It will last longer.
Hrishikesh Kelkar,solves my immediate need
Aravind,Nice mouse. Its durable and handy. Overall nice product. 100% value for money.
Goutam Deb,Perfect for carrying around but unless you have a small hand I wouldn't recommend this for gaming
Manish Gupta,Worth money
Abhi,I am happy and will recommend
Gowthaman,Good mouse for laptop and office purpose
Lamabam S.,V.......y g...d.
Amazon Customer,"Very comfortable. Handy and reliable. I use it on my MacBook Pro(Windows 7), i feel very comfortable using it. I use it everyday and carry to all my meetings, .."
Arijeet Mukherjee,Good
ANONYMOUS,I have been using this mouse for 6 months now and it has been working fine for me.
Jasper,"Works fine, suits the purpose. Good product"
निमकर,excellent mouse. also comes with a battery. using for a month now.
Beny,"I have been using this mouse for a month and it works really good. It's handy, easy to connect, nicely packed and on/off button is really helpful to save battery. A very good device."
shirish soni,Ok
MayurPune,Very convenient and smooth. Doesn’t consume much battery.
parth,Very compact very useful connectivity is awesome.
Najm Ahmed,almost month and works fine
Vishalya Jain,"Hi , my mouse has stopped working. Its been less than an yearI don't know how to apply for it ..... As it is still in warranty period"
Bhima dhanaraju,I liked it at my first use let's see
Amazon Customer,"The mouse is smaller than i thought it would be! However, hassle free and super responsive! Excellent for the price!"
Amazon Customer,Excellent performance 👍
autobahn,Good Product. Worth the price paid.
Nells K.S,Value for money
ATUL BORKAR,"Just go for it, good mouse from Logitech."
Vedant Yadav,Very lightweight and a bit delicate. Difficult to disassemble in case of any problems.
Amazon Customer,Good but costly
Bhushan Kumar,"Fabulous product.Precise as it can be.Best deal on Amazon.Light, handy and best in design"
vijay roy,It's very useful & easy to handle..
chandra,Excellent gadget
Cronos,Works better than any cheap gaming mouse. One of the best in cheap wireless options.
Ola olala,Ease for gaming
Antony George,"Fits perfectly letting your hands cover the mouse fully, design is sleek and modern"
Vikas Joshi,"Durable, uses very minimial battery. Excellent product."
AMARESH CHANDRA ROUL,Excellent one
Himanshu,The best brand for pointing devices. Using Logitech from last 10 years.
ajin jose,Best product in this price range
Amazon Customer,Scrolling button not working after 6 months
Shrish,Well design and smooth in operation
Praveen,Nice one working fine
NNG,The item is superb & is working very nice.Really happy to see that it has solved my laptop's touch pad problem.
Praveen Kumar,Cheap and best.
Prabhat,Well worth the price
Parv Bhavsar,Small convenient and affordable woreless mouse from Logitech. Thumbs Up.Long Battery Life.
Amazon Customer,Comfartable in hands for griping..... and works smooth and quick.
Amazon Customer,The mouse works as expected but is rather small in size. You will have trouble if you have larger hands. The USB connector fits inside the mouse which is nice.
PADMANABHAN,Delivery was well on time and the product is worth for the money.
Sanjay raichura,👍
Girish B Kamath,roller grip is bad.no feeling of quality in clicking or rollersmall mouse
honcho,Very good
Ranajit,It is very light weight and easy to use.Pointer speed is very good.
nikinsaw,"Compact perfect for small hands, nice design and texture.The thing I like the most about it is that the receiver is enclosed inside beside the AA battery."
Yash Gokhale,Worked well for around 5-6 weeks and then started to give scrolling issues.
Krishna priya,Good one
Kanwardeep Singh,Easy to hold very comfortable👍👍👍👍
Pranay Jain,Great product little small though
Karamjeet Singh,Got this product with next day delivery.Best product plus great delivery!
Ujjwal,"Stopped working after a month, company selling the product never picks up phone!!"
Prashant koli,Thanks u #Amazon for this product.
Vinay A.,"very smooth, universal size, small and elegant"
